time,DAC_vld,DAC_bits,DAC_I,DAC_Q,ADC_I,ADC_Q,I_16M,Q_16M,NCO_cos,QPSK_raw,I_1M,Q_1M,QPSK,BPSK,clk_1M_out,Tx_data_tdata,Tx_data_tlast,Tx_data_tuser,Tx_data_tvalid,Rx_data_tdata,Rx_data_tlast,Rx_data_tuser,Rx_data_tvalid,error_tdata,feedback_tdata,Tx_1bit,Tx_vld,Rx_1bit,Rx_vld,gardner_error,gardner_increment,Tx_data_tdata_2bits,Tx_data_tdata_1,Tx_data_tdata_0,Tx_data_tdata_X1,Tx_data_tdata_X2,Rx_data_tdata_2bits,Rx_data_tdata_1,Rx_data_tdata_0,Rx_data_tdata_X1,Rx_data_tdata_X2
0,1,3,-2046,-2,519,-85,2198,2308,-741,0,2198,2160,0,0,0,255,0,0,0,0,0,1,0,23,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
1,1,3,2,-2046,1033,-250,2775,2425,-1907,0,2198,2160,0,0,0,255,0,0,0,0,0,1,0,-8,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
2,1,3,2,-2046,1033,-506,2775,2425,-1907,0,2198,2160,0,0,0,255,0,0,0,0,0,1,0,-8,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
3,1,3,2046,2,572,1265,2412,2557,741,0,2189,2161,0,0,1,255,0,0,0,0,0,1,0,27,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
4,1,3,2046,2,572,241,2412,2557,741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,27,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
5,1,3,-2,2046,-1420,437,2833,2586,1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-11,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
6,1,3,-2,2046,-1420,181,2833,2586,1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-11,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
7,1,3,-2046,-2,-667,-1335,2225,2539,-741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,20,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
8,1,3,-2046,-2,-667,-311,2225,2539,-741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,20,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
9,1,3,2,-2046,1512,-452,2340,2303,-1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-23,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
10,1,3,2,-2046,1512,1852,2340,2303,-1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-23,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
11,1,0,-2046,-2,659,1354,1398,1934,741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
12,1,0,-2046,-2,659,330,1398,1934,741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
13,1,0,2,-2046,-1518,444,1203,1370,1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-28,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
14,1,0,2,-2046,-1518,188,1203,1370,1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-28,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
15,1,0,2046,2,-657,-1347,33,720,-741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-7,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
16,1,0,2046,2,-657,-324,33,720,-741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-7,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
17,1,0,-2,2046,1523,-450,-267,-29,-1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-8,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
18,1,0,-2,2046,1523,-194,-267,-29,-1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,-8,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
19,1,0,-2046,-2,652,1357,-1337,-730,741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
20,1,0,-2046,-2,652,333,-1337,-730,741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
21,1,0,2,-2046,-1515,449,-1558,-1425,1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,19,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
22,1,0,2,-2046,-1515,192,-1558,-1425,1907,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,19,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
23,1,0,2046,2,-665,-1348,-2116,-1847,-741,0,2189,2161,0,0,0,255,0,0,0,0,0,1,0,6,0,0,0,0,0,0,8192,3,1,1,0,1,0,0,0,0,1
24,1,0,2046,2,-665,-324,-2116,-1847,-741,0,2189,2161,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,8192,0,0,0,1,0,0,0,0,0,1
