time,DAC_vld,DAC_bits,DAC_I,DAC_Q,ADC_I,ADC_Q,I_16M,Q_16M,NCO_cos,QPSK_raw,I_1M,Q_1M,QPSK,BPSK,clk_1M_out,Tx_data_tdata,Tx_data_tlast,Tx_data_tuser,Tx_data_tvalid,Rx_data_tdata,Rx_data_tlast,Rx_data_tuser,Rx_data_tvalid,error_tdata,feedback_tdata,Tx_1bit,Tx_vld,Rx_1bit,Rx_vld,gardner_error,gardner_increment,DAC_bits_1,DAC_bits_0,DAC_bits_X1,DAC_bits_X2,Tx_data_tdata_2bits,Tx_data_tdata_1,Tx_data_tdata_0,Tx_data_tdata_X1,Tx_data_tdata_X2,Rx_data_tdata_2bits,Rx_data_tdata_1,Rx_data_tdata_0,Rx_data_tdata_X1,Rx_data_tdata_X2,v0
0,,,,,,,,,,3,-2324,-2288,0,0,0,255,0,0,0,0,0,1,0,,,0,0,0,0,,,1,1,0,1,3,1,1,0,1,0,0,0,0,1,0
1,1,3,2,-2046,1055,-284,-2930,-2550,1963,,,,,,,,,,,,,,,-13,0,,,,,0,8192,,,,,,,,,,,,,,,
2,,,,,,,,,,,-2327,-2294,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,2046,2,730,1317,-2551,-2762,-577,,,,,,0,,,,,,,,,31,0,,,,,0,8192,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,3,-2,2046,-1436,495,-2985,-2706,-1963,,,,,,,,,,,,,,,-18,0,,,,,0,8192,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,3,-2046,-2,-849,-1400,-2351,-2722,577,,,,,,,,,,,,,,,24,1,,,,,0,8192,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,3,2,-2046,1540,-498,-2463,-2381,1963,,,,,,,,,,,,,,,-29,0,,,,,0,8192,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
11,1,0,-2046,-2,826,1400,-1480,-2056,-577,,,,,,,,,,,,,,,6,0,,,,,0,8192,0,0,1,0,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0,2,-2046,-1536,508,-1270,-1368,-1963,,,,,,,,,,,,,,,-32,0,,,,,0,8192,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,0,2046,2,-840,-1414,-45,-750,577,,,,,,,,,,,,,,,-4,0,,,,,0,8192,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0,-2,2046,1558,-498,278,120,1963,,,,,,,,,,,,,,,-9,0,,,,,0,8192,,,,,,,,,,,,,,,
